symbol,accession,pfam_id,uniprot_length,domain_start,domain_end
TMCO2,Q7Z6W1,PF15844,182,9,179
TRAPPC10,P48553,PF23036,1259,15,212
TRAPPC10,P48553,PF23604,1259,791,884
TRAPPC10,P48553,PF30303,1259,442,567
TRAPPC10,P48553,PF30304,1259,579,781
TRAPPC10,P48553,PF30308,1259,945,1053
TSHZ1,Q6ZSZ6,PF26094,1077,893,957
TSHZ2,Q9NRE2,PF26094,1034,849,913
TSHZ3,Q63HK5,PF13912,1081,276,300
TSHZ3,Q63HK5,PF26094,1081,899,963
ZBED6,P86452,PF02892,979,135,181
ZBED6,P86452,PF02892,979,267,315
ZBED6,P86452,PF05699,979,868,948
ZBED6,P86452,PF27039,979,581,690
ZFP28,Q8NHY6,PF00096,868,420,442
ZFP28,Q8NHY6,PF00096,868,448,468
ZFP28,Q8NHY6,PF00096,868,476,499
ZFP28,Q8NHY6,PF00096,868,533,555
ZFP28,Q8NHY6,PF00096,868,561,583
ZFP28,Q8NHY6,PF00096,868,589,611
ZFP28,Q8NHY6,PF00096,868,617,639
ZFP28,Q8NHY6,PF00096,868,645,667
ZFP28,Q8NHY6,PF00096,868,673,695
ZFP28,Q8NHY6,PF00096,868,701,723
ZFP28,Q8NHY6,PF00096,868,757,779
ZFP28,Q8NHY6,PF00096,868,785,807
ZFP28,Q8NHY6,PF01352,868,102,143
ZFP28,Q8NHY6,PF01352,868,231,268
ZFP28,Q8NHY6,PF13912,868,729,751
ZNF3,P17036,PF00096,446,200,222
ZNF3,P17036,PF00096,446,228,250
ZNF3,P17036,PF00096,446,256,278
ZNF3,P17036,PF00096,446,284,306
ZNF3,P17036,PF00096,446,312,334
ZNF3,P17036,PF00096,446,340,362
ZNF3,P17036,PF00096,446,368,390
ZNF3,P17036,PF00096,446,396,418
ZNF3,P17036,PF01352,446,50,91
ZNF292,O60281,PF00096,2723,807,831
ZNF292,O60281,PF25420,2723,531,563
ZNF292,O60281,PF25580,2723,247,469
ZNF292,O60281,PF26218,2723,2158,2212
ZNF292,O60281,PF26218,2723,2369,2426
ZNF471,Q9BX82,PF00096,626,206,228
ZNF471,Q9BX82,PF00096,626,234,256
ZNF471,Q9BX82,PF00096,626,262,284
ZNF471,Q9BX82,PF00096,626,290,312
ZNF471,Q9BX82,PF00096,626,318,338
ZNF471,Q9BX82,PF00096,626,346,369
ZNF471,Q9BX82,PF00096,626,403,425
ZNF471,Q9BX82,PF00096,626,431,453
ZNF471,Q9BX82,PF00096,626,459,481
ZNF471,Q9BX82,PF00096,626,487,509
ZNF471,Q9BX82,PF00096,626,515,537
ZNF471,Q9BX82,PF00096,626,543,565
ZNF471,Q9BX82,PF00096,626,571,593
ZNF471,Q9BX82,PF00096,626,599,621
ZNF471,Q9BX82,PF01352,626,13,54
ZNF510,Q9Y2H8,PF00096,683,404,426
ZNF510,Q9Y2H8,PF00096,683,432,454
ZNF510,Q9Y2H8,PF00096,683,460,482
ZNF510,Q9Y2H8,PF00096,683,488,510
ZNF510,Q9Y2H8,PF00096,683,516,538
ZNF510,Q9Y2H8,PF00096,683,544,566
ZNF510,Q9Y2H8,PF00096,683,572,594
ZNF510,Q9Y2H8,PF00096,683,600,622
ZNF510,Q9Y2H8,PF00096,683,628,650
ZNF510,Q9Y2H8,PF01352,683,45,86
ZNF549,Q6P9A3,PF00096,640,275,298
ZNF549,Q6P9A3,PF00096,640,304,326
ZNF549,Q6P9A3,PF00096,640,332,355
ZNF549,Q6P9A3,PF00096,640,361,383
ZNF549,Q6P9A3,PF00096,640,389,411
ZNF549,Q6P9A3,PF00096,640,417,439
ZNF549,Q6P9A3,PF00096,640,445,467
ZNF549,Q6P9A3,PF00096,640,473,495
ZNF549,Q6P9A3,PF00096,640,501,523
ZNF549,Q6P9A3,PF00096,640,530,551
ZNF549,Q6P9A3,PF00096,640,558,579
ZNF549,Q6P9A3,PF00096,640,585,607
ZNF549,Q6P9A3,PF00096,640,613,635
ZNF549,Q6P9A3,PF01352,640,27,67
ZNF592,Q92610,PF16622,1267,1149,1177
ZNF592,Q92610,PF25412,1267,609,653
ZNF713,Q8N859,PF00096,443,286,308
ZNF713,Q8N859,PF00096,443,314,336
ZNF713,Q8N859,PF00096,443,342,364
ZNF713,Q8N859,PF01352,443,31,72
ZNF713,Q8N859,PF13465,443,384,409
CD101,Q93033,PF07686,1021,31,142
CD101,Q93033,PF07686,1021,154,255
CD101,Q93033,PF07686,1021,824,911
CFAP43,Q8NDM7,PF25828,1665,787,1662
CFAP184,Q2M329,PF13870,555,366,540
CUEDC1,Q9NWM3,PF02845,386,47,88
DCUN1D4,Q92564,PF03556,292,175,285
DHX8,Q14562,PF00270,1220,572,721
DHX8,Q14562,PF00271,1220,764,895
DHX8,Q14562,PF00575,1220,261,333
DHX8,Q14562,PF04408,1220,957,985
DHX8,Q14562,PF07717,1220,1103,1179
DHX8,Q14562,PF21010,1220,986,1045
DICER1,Q9UPY3,PF00270,1922,46,209
DICER1,Q9UPY3,PF00271,1922,499,553
DICER1,Q9UPY3,PF00636,1922,1313,1396
DICER1,Q9UPY3,PF00636,1922,1702,1824
DICER1,Q9UPY3,PF02170,1922,917,1062
DICER1,Q9UPY3,PF03368,1922,630,718
DICER1,Q9UPY3,PF20930,1922,268,366
DICER1,Q9UPY3,PF20931,1922,761,886
DICER1,Q9UPY3,PF20932,1922,1830,1918
DNAH3,Q8TD57,PF03028,4116,3517,3632
DNAH3,Q8TD57,PF08393,4116,859,1262
DNAH3,Q8TD57,PF12774,4116,1391,1717
DNAH3,Q8TD57,PF12775,4116,2037,2214
DNAH3,Q8TD57,PF12777,4116,2678,3020
DNAH3,Q8TD57,PF12780,4116,2404,2664
DNAH3,Q8TD57,PF12781,4116,3052,3273
DNAH3,Q8TD57,PF17852,4116,1884,2027
DNAH3,Q8TD57,PF17857,4116,2247,2341
DNAH3,Q8TD57,PF18198,4116,3667,3805
DNAH3,Q8TD57,PF18199,4116,3812,4112
DZIP3,Q86Y13,PF13639,1208,1148,1188
DZIP3,Q86Y13,PF18738,1208,421,559
DZIP3,Q86Y13,PF19179,1208,228,332
DZIP3,Q86Y13,PF24525,1208,787,955
DZIP3,Q86Y13,PF24905,1208,1035,1089
DZIP3,Q86Y13,PF30182,1208,106,210
ELP1,O95163,PF04762,1332,1,353
ELP1,O95163,PF23797,1332,393,698
ELP1,O95163,PF23878,1332,931,1094
ELP1,O95163,PF23925,1332,722,924
ELP1,O95163,PF23936,1332,1103,1273
EPRS1,P07814,PF00458,1512,753,805
EPRS1,P07814,PF00458,1512,826,878
EPRS1,P07814,PF00458,1512,904,955
EPRS1,P07814,PF00587,1512,1113,1284
EPRS1,P07814,PF00749,1512,197,501
EPRS1,P07814,PF03129,1512,1303,1403
EPRS1,P07814,PF03950,1512,504,594
EPRS1,P07814,PF09180,1512,1430,1512
EPRS1,P07814,PF20974,1512,606,681
EPRS1,P07814,PF21972,1512,92,155
