gene,k,shared_kmers
SPDYE1,18,0
RTCA,18,0
SLC30A8,18,0
PHKG1,18,1
SFTPD,18,0
R3HDM4,18,0
ERLIN2,18,0
SPIN3,18,1
MTCH2,20,0
ZDHHC11B,20,0
SERPINE3,20,0
FASLG,20,2
CIMIP6,20,0
KLK14,20,0
CDK5R2,20,0
CAPZA3,20,0
MAGEB16,20,0
FSAF1,20,0
OR1M1,20,1
FKBP6,20,0
TDRD10,20,0
NMI,20,0
LUC7L,20,25
OR4M2-OT1,20,0
LCLAT1,20,0
PLPBP,20,0
TMEFF2,20,0
TP53TG5,20,0
TPM1,20,0
ZNF669,20,0
GNAZ,20,0
MBNL1,20,0
SPDYE2B,20,0
ENSG00000250349,20,0
OR2L13,20,0
MIOX,20,0
CENPVL2,20,0
MBNL2,20,0
IER5,20,0
PVRIG,20,0
FAM78B,20,0
CXADR,20,0
PACRGL,20,0
ADO,20,0
ENSG00000284906,20,0
ELOVL6,20,0
ZNF787,20,0
SEC22A,20,0
MPST,20,0
PGAP2,20,0
AGPAT3,20,0
MRPS18B,20,0
EXOG,20,0
CXorf58,20,0
CYTH4,20,0
PRICKLE4,20,0
NFE2,20,0
ACKR3,20,0
BPIFA1,20,0
OR14C36,20,0
CCDC188,20,0
OR2G2,20,0
MRM2,20,0
CCDC68,20,0
HSD17B14,20,0
UBL7,20,0
OR52E8,20,0
GSG1L2,20,0
PDF,20,0
M6PR,20,0
PCGF6,20,0
TMEM64,20,0
OR2I1,20,0
CLVS1,20,0
SULT1C2,20,0
NFAM1,20,3
STN1,20,0
TGFB1,20,0
SIGLEC15,20,0
RNF121,20,0
C16orf78,20,0
ANXA8,20,0
MDH1,20,0
PRR23E,20,3
KLF1,20,0
GRXCR2,20,0
RAD9A,20,8
C1QTNF3,20,0
TSPAN10,20,5
EIF3J,20,1
CD1D,20,1
SH2D6,20,0
OLIG1,20,2
GRAP2,20,0
OR52N1,20,0
SLC25A45,20,0
LAYN,20,0
ZCCHC12,20,0
ST8SIA3,20,1
GEMIN8,20,0
SDR42E1,20,0
SLC30A3,20,0
TMBIM1,20,0
TMEM38B,20,1
KRTAP9-1,20,0
EIPR1,20,2
OR11L1,20,0
OR51E2,20,0
CSF2RA,20,0
PAGR1,20,0
FAM107B,20,0
UNC119B,20,0
CREBZF,20,0
PLPP3,20,0
C1QBP,20,0
PANX3,20,0
C1QTNF2,20,0
FSTL1,20,0
PSMA8,20,2
TFB2M,20,0
SLC25A40,20,0
OR13A1,20,2
ZDHHC19,20,0
CA2,20,0
EFNB2,20,0
TEX26,20,0
TXNL1,20,0
MITD1,20,0
MFAP3,20,0
AKTIP,20,0
OSGEP,20,0
SRSF6,20,18
PRDM12,20,0
OPRPN,20,0
SH3GL3,20,0
TTPAL,20,0
UCK1,20,0
ATXN3,20,4
FGF23,20,0
SLC25A3,20,0
OR2A42,20,0
SRD5A1,20,0
ZNG1B,20,0
HDGFL1,20,0
OTULINL,20,1
GIMAP5,20,0
MNX1,20,1
KDF1,20,0
PRKAR1A,20,0
CDX4,20,0
LY6G6F,20,0
SLC25A51,20,0
IDI1,20,0
FBXO2,20,0
SETD7,20,0
ARHGAP11B,20,0
KLK4,20,0
BCDIN3D,20,0
SRRD,20,0
KCNJ11,20,0
GPR160,20,0
CALR3,20,0
CD55,20,0
HSDL1,20,1
VPS26C,20,0
SLC25A15,20,0
ARGLU1,20,29
GRTP1,20,0
CYSLTR2,20,0
RPSA,20,0
NME1-NME2,20,0
OR4K15,20,0
OR2M3,20,0
SUPT3H,20,0
UBXN2A,20,0
HOXA1,20,0
METTL22,20,0
MACROH2A1,20,0
DNASE1L3,20,0
DPF2,20,0
MAGEA9,20,0
PRELP,20,0
GPD1L,20,0
OR4F29,20,0
CCDC117,20,0
SIGLEC14,20,0
EAF1,20,0
TAS2R31,20,0
CTBS,20,0
FEZ2,20,0
PRPS1L1,20,0
NXPH4,20,0
CEP44,20,0
CCN3,20,0
UBTFL1,20,6
PNMA6A,20,2
PRB3,20,0
KRTAP29-1,20,0
GPR171,20,0
CD200R1L,20,0
CYTH1,20,2
MAP2K4,20,0
NXPH3,20,0
ICAM2,20,0
OR51V1,20,0
RBM43,20,0
RRH,20,0
ZCWPW2,20,4
TBX10,20,0
GOLM1,20,0
PNPO,20,0
VDAC1,20,0
MVB12A,20,0
C1orf141,20,0
PDCD2,20,0
CEACAM19,20,0
CLEC12A,20,0
RPS3A,20,0
SIRPB1,20,0
GCLM,20,0
LYPD5,20,0
SFXN3,20,1
HSPE1-MOB4,20,0
CD72,20,0
RFXANK,20,0
MRPS35,20,0
HAVCR2,20,0
ESAM,20,1
ENSG00000270249,20,0
RCN3,20,0
C20orf96,20,0
GNA15,20,0
OR5M3,20,0
UPK3BL1,20,1
COQ3,20,0
PBK,20,0
OR4K13,20,0
KLF14,20,0
CCN2,20,0
CERS1,20,6
FAM210A,20,0
VSIG2,20,0
HENMT1,20,0
LRRC39,20,0
SURF6,20,5
MRM1,20,0
LRRC19,20,0
UBE3D,20,0
SPRY3,20,0
STARD10,20,4
ZNF771,20,0
SLC35F2,20,0
GPRC5A,20,0
LIPT1,20,0
GJC3,20,0
AZI2,20,0
SLC35B4,20,0
PIPOX,20,0
METTL24,20,0
STX5,20,1
RNASET2,20,1
IGBP1C,20,2
ACTRT2,20,0
HOXB8,20,0
FOLR2,20,0
ANKRD30BL,20,0
NCK1,20,0
GLT1D1,20,0
ECHDC1,20,1
WNT9B,20,0
OR2J3,20,0
DECR2,20,0
OR5B17,20,0
B3GALT1,20,0
KCTD12,20,0
PLSCR3,20,0
OR11H4,20,0
TMEM163,20,0
POU5F2,20,0
KIAA1191,20,0
EEF1AKMT4,20,0
RWDD3,20,0
CMBL,20,1
POU3F4,20,0
CCDC42,20,0
ZNF330,20,0
CT47A12,20,0
KRT33A,20,5
NKAPD1,20,29
SMN2,20,0
ERGIC3,20,0
EIF2S2,20,0
SLBP,20,0
ECHDC2,20,0
EIF3I,20,0
STAC,20,0
ERFL,20,0
FGF5,20,0
MRPL28,20,0
RRAGD,20,3
SPDYE1,20,0
RTCA,20,0
SLC30A8,20,0
PHKG1,20,0
SFTPD,20,0
R3HDM4,20,0
ERLIN2,20,0
SPIN3,20,0
