arm,tool,target,label_rule,query_acc,term_id,true_start,true_end,best_qstart,best_qend,best_target_acc,best_tstart,best_tend,best_t_feat_start,best_t_feat_end,best_rank_score,best_iou,best_inside,best_cover,n_overlapping_calls,n_overlapping_targets,any_inside_half,landed,n_landed_targets,land_qstart,land_qend,land_target_acc,land_tstart,land_tend,land_t_feat_start,land_t_feat_end,land_rank_score,land_iou,land_inside,land_cover,rank_by,chosen_arm,own_arm,n_choose_regions,tool_label,query_half,term_half,term_name,length,mean_plddt_region,disorder_fraction_region,has_model,protein_length,gene,kd_landed,placement_p,case_rank,n_drawn,random_query_p,passes,km_iou,km_arm,category,confident,n_hits
foldseek,foldseek,disprot,same_term,P38398,GO:0005515,174,303,168,440,Q9QUG2,540,847,559,582,2.0,0.4742647058823529,0.4742647058823529,1.0,46,30,true,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,protein binding,129,31.206356589147287,1.0,true,1863,BRCA1,false,,,,,false,0.5038759689922481,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,77
foldseek,foldseek,disprot,same_term,P28300,GO:0005515,21,168,13,166,P45561,64,177,1,173,0.0,0.9354838709677419,0.9477124183006536,0.9863945578231292,64,44,true,true,32,13,166,P45561,64,177,1,173,0.0,0.9354838709677419,0.9477124183006536,0.9863945578231292,score,,,,Foldseek,report,report,protein binding,147,43.519387755102045,1.0,true,417,LOX,false,0.17358490566037735,236,108,0.1926605504587156,false,0.3741496598639456,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,240
foldseek,foldseek,disprot,same_term,Q13625,GO:0005515,692,918,660,833,O82132,140,334,242,272,1.0,0.5465116279069767,0.815028901734104,0.6238938053097345,75,51,true,true,6,660,833,O82132,140,334,242,272,1.0,0.5465116279069767,0.815028901734104,0.6238938053097345,score,,,,Foldseek,report,report,protein binding,226,41.467566371681414,1.0,true,1128,TP53BP2,false,0.12761506276150628,206,52,0.2830188679245283,false,0.3141592920353982,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,149
foldseek,foldseek,disprot,same_term,P38398,GO:0005515,432,511,425,549,Q38825,2,123,81,94,-1.0,0.6370967741935484,0.6370967741935484,1.0,49,33,true,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,protein binding,79,30.053670886075945,1.0,true,1863,BRCA1,false,,,,,false,0.7439024390243902,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,76
foldseek,foldseek,disprot,same_term,Q49AN0,GO:0005515,489,593,488,593,Q9EPU7,29,186,3,91,11.0,0.9904761904761905,0.9904761904761905,1.0,45,39,true,true,13,488,593,Q9EPU7,29,186,3,91,11.0,0.9904761904761905,0.9904761904761905,1.0,score,,,,Foldseek,report,report,protein binding,104,45.70701923076923,0.6923076923076923,true,593,CRY2,false,0.04294478527607362,74,101,0.09803921568627451,false,0.3076923076923077,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,244
foldseek,foldseek,disprot,same_term,P10451,GO:0005515,0,314,10,314,Q27974,398,745,546,813,0.0,0.9681528662420382,1.0,0.9681528662420382,40,30,true,true,22,10,314,Q27974,398,745,546,813,0.0,0.9681528662420382,1.0,0.9681528662420382,score,,,,Foldseek,report,report,protein binding,314,53.406305732484086,1.0,true,314,SPP1,false,1.0,68,56,0.15789473684210525,false,0.5987261146496815,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,120
foldseek,foldseek,disprot,same_term,P46527,GO:0005515,0,198,0,198,Q27974,607,775,546,813,4.0,1.0,1.0,1.0,48,39,true,true,33,0,198,Q27974,607,775,546,813,4.0,1.0,1.0,1.0,score,,,,Foldseek,report,report,protein binding,198,69.23424242424242,0.7171717171717171,true,198,CDKN1B,false,1.0,58,51,0.21153846153846154,false,0.3686868686868687,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,184
foldseek,foldseek,disprot,same_term,P06454,GO:0005515,0,111,0,61,O82132,247,300,254,272,3.0,0.5495495495495496,1.0,0.5495495495495496,7,3,true,true,1,0,61,O82132,247,300,254,272,3.0,0.5495495495495496,1.0,0.5495495495495496,score,,,,Foldseek,report,report,protein binding,111,58.376396396396395,1.0,true,111,PTMA,false,1.0,11,24,0.08,false,0.9459459459459459,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,177
foldseek,foldseek,disprot,same_term,P45985,GO:0005515,11,86,0,93,O43070,388,502,476,526,12.0,0.8064516129032258,0.8064516129032258,1.0,62,45,true,true,10,0,93,O43070,388,502,476,526,12.0,0.8064516129032258,0.8064516129032258,1.0,score,,,,Foldseek,report,report,protein binding,75,35.12146666666667,0.6933333333333334,true,399,MAP2K4,false,0.03908794788273615,33,98,0.09090909090909091,false,0.8933333333333333,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,267
foldseek,foldseek,disprot,same_term,P60484,GO:0098772,352,403,347,403,P09077,262,318,304,310,4.0,0.9107142857142857,0.9107142857142857,1.0,10,7,true,true,2,347,403,P09077,262,318,304,310,4.0,0.9107142857142857,0.9107142857142857,1.0,score,,,,Foldseek,report,report,molecular function regulator,51,35.779607843137256,1.0,true,403,PTEN,false,0.020114942528735632,181,104,0.20952380952380953,false,0.8823529411764706,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,225
foldseek,foldseek,disprot,same_term,P62328,GO:0005515,0,44,0,44,P62326,0,44,29,39,189.0,1.0,1.0,1.0,15,9,true,true,9,0,44,P62326,0,44,12,44,189.0,1.0,1.0,1.0,score,,,,Foldseek,report,report,protein binding,44,80.78545454545454,1.0,true,44,TMSB4X,false,1.0,1,0,1.0,false,1.0,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT >= 70,51
foldseek,foldseek,disprot,same_term,Q9BTL3,GO:0005515,1,45,2,41,O94742,5,42,0,70,0.0,0.8863636363636364,1.0,0.8863636363636364,31,20,true,true,4,2,41,O94742,5,42,0,70,0.0,0.8863636363636364,1.0,0.8863636363636364,score,,,,Foldseek,report,report,protein binding,44,89.2425,0.9090909090909091,true,118,RAMAC,false,0.175,513,24,0.4,false,0.7555555555555555,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT >= 70,123
foldseek,foldseek,disprot,same_term,P09429,GO:0005515,187,214,0,206,Q22472,89,294,0,378,4.0,0.08878504672897196,0.09223300970873786,0.7037037037037037,10,10,false,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,protein binding,27,41.894814814814815,1.0,true,215,HMGB1,false,,,,,false,0.9642857142857143,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,spills,pLDDT < 70,39
foldseek,foldseek,disprot,same_term,Q9UBB5,GO:0005515,237,356,245,384,Q05753,0,142,36,231,3.0,0.7551020408163265,0.7985611510791367,0.9327731092436975,63,49,true,true,7,223,331,Q9SQK3,16,118,39,112,2.0,0.706766917293233,0.8703703703703703,0.7899159663865546,score,,,,Foldseek,report,report,protein binding,119,77.72722689075631,0.8823529411764706,true,411,MBD2,false,0.17763157894736842,217,108,0.27522935779816515,false,0.3387096774193548,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT >= 70,187
foldseek,foldseek,disprot,same_term,Q8N3V7,GO:0005515,544,613,542,727,Q05753,0,244,36,231,4.0,0.372972972972973,0.372972972972973,1.0,68,43,false,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,protein binding,69,45.245652173913044,1.0,true,929,SYNPO,false,,,,,false,0.6811594202898551,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,spills,pLDDT < 70,101
foldseek,foldseek,disprot,same_term,P32004,GO:0005515,1143,1257,1145,1257,P45976,13,153,79,195,3.0,0.9824561403508771,1.0,0.9824561403508771,82,56,true,true,13,1145,1257,P45976,13,153,79,195,3.0,0.9824561403508771,1.0,0.9824561403508771,score,,,,Foldseek,report,report,protein binding,114,33.07464912280702,1.0,true,1257,L1CAM,false,0.02181500872600349,161,45,0.08695652173913043,false,0.6052631578947368,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,216
foldseek,foldseek,disprot,same_term,P35568,IDPO:0000033,116,159,94,162,P21447,604,675,626,686,1.0,0.6323529411764706,0.6323529411764706,1.0,21,17,true,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,flexible linker,43,41.68953488372093,0.8604651162790697,true,1242,IRS1,false,,,,,false,0.68,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,93
foldseek,foldseek,disprot,same_term,Q14722,GO:0005515,0,62,0,64,Q27934,114,177,106,130,0.0,0.96875,0.96875,1.0,37,30,true,true,13,0,64,Q27934,114,177,106,130,0.0,0.96875,0.96875,1.0,score,,,,Foldseek,report,report,protein binding,62,41.20548387096775,0.8387096774193549,true,419,KCNAB1,false,0.03089887640449438,283,108,0.3394495412844037,false,0.6451612903225806,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,172
