gene_symbol	uniprot	chr6_start	mhc_subregion	mhc_class	gene_class	pfam_families	n_domain_instances	mouse	chicken	zebrafish	ciona	fly	worm	yeast	arabidopsis	ecoli
C6orf15	Q6UXA7	31111223	class I		3 locus furniture	PF15809	2	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
PSORS1C1	Q9UIG5	31114750	class I		3 locus furniture	PF15357	1	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	not_called
PSORS1C2	Q9UIG4	31137534	class I		3 locus furniture	PF15356	1	delimited	called_not_covered	not_called	called_not_covered	not_called	called_not_covered	not_called	called_not_covered	called_not_covered
CCHCR1	Q8TD31	31142439	class I		3 locus furniture	PF07111	1	delimited	called_not_covered	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
TCF19	Q9Y242	31158331	class I		3 locus furniture	PF00498;PF00628	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
POU5F1	Q01860	31163193	class I		3 locus furniture	PF00046;PF00157	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
HLA-C	P10321	31268746	class I	I classical	1 classical antigen-presenting	PF00129;PF06623;PF07654	3	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-B	P01889	31353195	class I	I classical	1 classical antigen-presenting	PF00129;PF06623;PF07654	3	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
MICA	Q29983	31399784	class III	I related (MIC)	2 immune-associated, conserved	PF00129;PF07654	2	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
MICB	Q29980	31494881	class III	I related (MIC)	2 immune-associated, conserved	PF00129;PF07654	2	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
MCCD1	P59942	31528962	class III		3 locus furniture	PF15707	1	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
DDX39B	Q13838	31530217	class III		3 locus furniture	PF00270;PF00271	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
ATP6V1G2	O95670	31544444	class III		3 locus furniture	PF03179	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	not_called
NFKBIL1	Q9UBC1	31546870	class III		3 locus furniture	PF30945	1	covered_not_delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
LTA	P01374	31572054	class III		2 immune-associated, conserved	PF00229	1	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
TNF	P01375	31575558	class III		2 immune-associated, conserved	PF00229	1	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
LTB	Q06643	31580525	class III		2 immune-associated, conserved	PF00229	1	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
LST1	O00453	31581065	class III		2 immune-associated, conserved	PF05083	1	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	not_called
NCR3	O14931	31588895	class III		2 immune-associated, conserved	PF07686	1	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
AIF1	P55008	31615214	class III		2 immune-associated, conserved	PF21008	1	delimited	called_not_covered	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
PRRC2A	P48634	31620675	class III		3 locus furniture	PF07001	1	covered_not_delimited	called_not_covered	covered_not_delimited	delimited	called_not_covered	called_not_covered	not_called	called_not_covered	called_not_covered
BAG6	P46379	31638543	class III		3 locus furniture	PF00240;PF12057;PF20960	3	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
APOM	O95445	31652416	class III		3 locus furniture	PF11032	1	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
C6orf47	O95873	31658298	class III		3 locus furniture	PF15576	1	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
GPANK1	O95872	31661228	class III		3 locus furniture	PF01585;PF13637	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
CSNK2B	P67870	31665227	class III		3 locus furniture	PF01214	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
LY6G5B	Q8NDX9	31669976	class III		3 locus furniture	PF00021	1	delimited	called_not_covered	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
LY6G5C	Q5SRR4	31676684	class III		3 locus furniture	PF00021	1	delimited	called_not_covered	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
ABHD16A	O95870	31686954	class III		3 locus furniture	PF00561;PF22990	2	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	delimited
LY6G6F	Q5SQ64	31706863	class III		3 locus furniture	PF07686;PF28430	2	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
LY6G6D	O95868	31715285	class III		3 locus furniture	PF00021	1	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
MPIG6B	O95866	31718594	class III		3 locus furniture	PF15096	1	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
LY6G6C	O95867	31718648	class III		3 locus furniture	PF00021	1	delimited	called_not_covered	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
CLIC1	O00299	31730579	class III		3 locus furniture	PF13409;PF13410	2	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited
MSH5	O43196	31739677	class III		3 locus furniture	PF00488;PF05190;PF05192;PF27035	4	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
SAPCD1	Q5SSQ6	31762656	class III		3 locus furniture	PF11414	1	delimited	called_not_covered	not_called	called_not_covered	delimited	called_not_covered	called_not_covered	called_not_covered	not_called
