sfam_string,hp_queries,scope_domains,scope_families,avg_seq_len,description
f.14.1,1,13,5,257.9230769230769,Potassium channel KVAP {Aeropyrum pernix [TaxId: 56636]}
a.266.1,1,3,2,348.6666666666667,automated matches {Human (Homo sapiens) [TaxId: 9606]}
c.111.1,1,4,2,324.5,Molybdenum cofactor biosynthesis protein MoeB {Escherichia coli [TaxId: 562]}
b.18.1,1,79,34,159.91139240506328,"Sialidase, C-terminal domain {Micromonospora viridifaciens [TaxId: 1881]}"
f.1.1,1,2,1,185.5,Colicin A {Escherichia coli [TaxId: 562]}
f.68.1,1,1,1,478.0,Calcium-activated lipid scramblase {Nectria haematococca [TaxId: 660122]}
d.178.1,1,2,1,291.5,"Phenylalanine hydroxylase, PAH {Chromobacterium violaceum [TaxId: 536]}"
c.4.1,1,,,,
d.143.1,1,6,4,292.5,SAICAR synthase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
d.92.1,1,42,17,309.92857142857144,Zinc protease {Streptomyces caespitosus [TaxId: 53502]}
c.55.3,1,56,15,217.07142857142858,BH0863-like Ribonuclease H {Bacillus halodurans [TaxId: 86665]}
b.179.1,1,6,4,173.66666666666666,Beta-glucosidase PA14 domain {Kluyveromyces marxianus [TaxId: 4911]}
c.97.1,1,24,7,175.08333333333334,mono-domain cytidine deaminase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
a.93.1,1,7,3,344.57142857142856,"Cytochrome c peroxidase, CCP {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}"
a.118.29,1,1,1,148.0,U5 small nuclear riboprotein particle assembly factor Aar2 C-terminal domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 559292]}
c.121.1,1,6,1,153.0,automated matches {Anaplasma phagocytophilum [TaxId: 212042]}
b.29.1,1,97,23,206.37113402061857,Concanavalin A {Jack bean (Canavalia ensiformis) [TaxId: 3823]}
a.196.1,1,1,1,145.0,"Invasion protein A (SipA) , C-terminal actin binding domain {Salmonella typhimurium [TaxId: 90371]}"
f.18.1,1,1,1,171.0,F1F0 ATP synthase subunit A {Escherichia coli [TaxId: 562]}
c.122.1,1,9,2,344.8888888888889,"2,3-diketogulonate oxidoreductase (YiaK) {Escherichia coli [TaxId: 562]}"
f.37.1,1,6,2,328.8333333333333,"P-glycoprotein (P-gp) multidrug resistance protein, transmembrane region {Mouse (Mus musculus) [TaxId: 10090]}"
c.108.1,1,100,24,233.73,"L-2-Haloacid dehalogenase, HAD {Pseudomonas sp., strain YL [TaxId: 306]}"
d.58.26,1,12,7,161.83333333333334,Homoserine kinase {Methanococcus jannaschii [TaxId: 2190]}
