NAME,SCOP,FAM,FAMCNT,SFAM,SFAMCNT,FOLD,FOLDCNT,FP
d1lj5a_,e.1.1.1,1.0,2,1.0,2,1.0,2,0
d4yzra_,a.104.1.0,1.0,2,1.0,2,1.0,2,0
d4pxha_,a.104.1.0,1.0,2,1.0,2,1.0,2,0
d3mpka_,c.94.1.0,0.0,0,0.0,0,0.0,0,1
d2z0ma2,c.37.1.0,1.0,2,1.0,2,1.0,2,0
d3lsna1,a.128.1.0,1.0,2,1.0,2,1.0,2,0
d3szva1,f.4.7.2,0.0,0,1.0,2,1.0,2,1
d2acva_,c.87.1.10,1.0,2,1.0,2,1.0,2,0
d6dvra_,c.66.1.6,0.0,0,1.0,3,1.0,3,1
d1agja_,b.47.1.1,1.0,2,1.0,2,1.0,2,0
g1jjo.1,e.1.1.1,0.0,0,1.0,2,1.0,2,1
d2d1sa_,e.23.1.1,0.0,0,1.0,2,1.0,2,1
d3loma1,a.128.1.0,1.0,2,1.0,2,1.0,2,0
d1b63a2,d.122.1.2,1.0,2,1.0,2,1.0,2,0
d3f1sa_,e.1.1.0,0.0,0,1.0,2,1.0,2,1
d2axoa1,c.47.1.19,0.0,0,0.0,0,0.0,0,1
d4nfna_,d.144.1.0,0.0,0,0.0,0,0.0,0,1
d1y2ka_,a.211.1.2,1.0,2,1.0,2,1.0,2,0
d2ekna_,d.58.21.0,1.0,2,1.0,2,1.0,2,0
d6wjya_,a.266.1.2,0.0,0,0.0,0,0.0,0,1
d5fpwb_,d.3.1.0,1.0,2,1.0,2,1.0,2,0
d6pnua1,c.82.1.0,0.0,0,0.0,0,0.0,0,1
d2ehza2,d.32.1.0,0.0,0,1.0,2,1.0,2,1
d3v6ta_,a.298.1.1,1.0,8,1.0,8,1.0,8,0
d1w36b1,c.37.1.19,0.0,0,0.0,0,0.0,0,1
d5jkja_,c.69.1.0,0.0,0,0.0,0,0.0,0,1
d2c1xa1,c.87.1.10,1.0,2,1.0,2,1.0,2,0
d2cxna_,c.80.1.2,0.0,0,0.0,0,0.0,0,1
d2wtkc1,d.144.1.0,1.0,2,1.0,2,1.0,2,0
d1kw3b2,d.32.1.3,0.0,0,1.0,2,1.0,2,1
d2lkca1,c.37.1.0,0.0,0,0.0,0,0.0,0,1
d3r9ba_,a.104.1.0,1.0,2,1.0,2,1.0,2,0
d4b6la_,d.144.1.0,1.0,2,1.0,2,1.0,2,0
d6pyma_,b.47.1.1,1.0,2,1.0,2,1.0,2,0
d1q5za_,a.196.1.1,0.0,0,0.0,0,0.0,0,1
d1vmia1,c.77.1.5,1.0,2,1.0,2,1.0,2,0
d2grrb_,a.118.12.1,0.0,0,0.0,0,0.0,0,1
d3k2wa1,c.82.1.0,1.0,2,1.0,2,1.0,2,0
d3qsda_,d.3.1.0,1.0,2,1.0,2,1.0,2,0
d1cola_,f.1.1.1,0.0,0,0.0,0,0.0,0,1
d1aoea_,c.71.1.1,1.0,2,1.0,2,1.0,2,0
d3k7pa_,c.121.1.0,0.0,0,0.0,0,0.0,0,1
d1um0a_,d.258.1.1,1.0,2,1.0,2,1.0,2,0
d1a8qa_,c.69.1.12,0.0,0,1.0,2,1.0,2,1
d2z3ta_,a.104.1.0,1.0,2,1.0,2,1.0,2,0
d1h0aa_,a.118.9.1,0.0,0,0.0,0,0.0,0,1
d2piba_,c.108.1.0,0.0,0,0.0,0,0.0,0,1
d6id0c1,c.37.1.0,0.0,0,1.0,2,1.0,2,1
d5h3ha_,c.69.1.0,0.0,0,1.0,2,1.0,2,1
d4nesa_,c.87.1.0,0.0,0,0.0,0,0.0,0,1
d2arqa_,e.1.1.1,1.0,2,1.0,2,1.0,2,0
d5b5ea_,f.26.1.1,0.0,0,0.0,0,0.0,0,1
d1c17m_,f.18.1.1,0.0,0,0.0,0,0.0,0,1
g1qhh.1,c.37.1.19,0.0,0,1.0,2,1.0,2,1
d6q4ga_,d.144.1.7,0.0,0,1.0,2,1.0,2,1
d2bl9a_,c.71.1.1,1.0,2,1.0,2,1.0,2,0
d6ctha1,d.144.1.0,1.0,2,1.0,2,1.0,2,0
d5r0db2,a.118.29.1,0.0,0,0.0,0,0.0,0,1
d1o98a1,c.105.1.1,0.0,0,0.0,0,0.0,0,1
d2yjtd_,c.37.1.0,1.0,2,1.0,2,1.0,2,0
d5hw3a1,e.3.1.0,0.0,0,0.0,0,0.0,0,1
d1s2xa1,a.47.3.1,0.0,0,0.0,0,0.0,0,1
d1un8a4,c.119.1.2,0.0,0,1.0,2,1.0,2,1
d3fxwa_,d.144.1.7,0.0,0,1.0,2,1.0,2,1
d2ayha_,b.29.1.2,0.0,0,0.0,0,0.0,0,1
d3h6ga_,c.93.1.0,0.0,0,0.0,0,0.0,0,1
d5izda1,c.82.1.0,1.0,2,1.0,2,1.0,2,0
d1uk8a_,c.69.1.10,1.0,2,1.0,2,1.0,2,0
d6yoja_,d.144.1.7,0.0,0,1.0,2,1.0,2,1
d1r9da_,c.7.1.1,0.0,0,1.0,2,1.0,2,1
d1g7sa4,c.37.1.8,0.0,0,0.0,0,0.0,0,1
d3r0qa_,c.66.1.0,0.0,2,1.0,3,1.0,3,1
d6raha1,f.37.1.0,0.0,0,0.0,0,0.0,0,1
d5jioa_,c.87.1.0,0.0,0,0.0,0,0.0,0,1
d1u0ma2,c.95.1.2,1.0,2,1.0,2,1.0,2,0
d1rh5a_,f.41.1.1,0.0,0,0.0,0,0.0,0,1
d7rcaa1,d.258.1.1,1.0,2,1.0,2,1.0,2,0
d4hyja_,f.13.1.0,1.0,2,1.0,2,1.0,2,0
d5troa2,e.3.1.0,0.0,0,0.0,0,0.0,0,1
d1nbaa_,c.33.1.3,0.0,0,0.0,0,0.0,0,1
d1wtja_,c.122.1.0,0.0,0,0.0,0,0.0,0,1
d2iu4a1,c.119.1.0,0.0,0,1.0,2,1.0,2,1
d1q4ga1,a.93.1.2,0.0,0,0.0,0,0.0,0,1
d1tbfa_,a.211.1.2,1.0,2,1.0,2,1.0,2,0
d1wqga_,d.67.3.1,1.0,2,1.0,2,1.0,2,0
d1dd5a_,d.67.3.1,1.0,2,1.0,2,1.0,2,0
d1llfa_,c.69.1.17,0.0,0,1.0,2,1.0,2,1
d5w1ua_,c.69.1.0,0.0,0,1.0,2,1.0,2,1
d3lfua2,c.37.1.0,0.0,0,1.0,2,1.0,2,1
d6cnga_,c.119.1.0,0.0,0,0.0,0,0.0,0,1
d2wqma_,d.144.1.0,0.0,0,1.0,2,1.0,2,1
d2f48a_,c.89.1.1,0.0,0,0.0,0,0.0,0,1
d6ui4a_,c.37.1.0,0.0,0,1.0,2,1.0,2,1
d4ogca3,d.393.1.1,0.0,0,0.0,0,0.0,0,1
d3plza_,a.123.1.1,0.0,0,1.0,2,1.0,2,1
d4jq6a_,f.13.1.0,1.0,2,1.0,2,1.0,2,0
d2pu6a_,c.69.1.10,1.0,2,1.0,2,1.0,2,0
d3b82a1,c.37.1.8,0.0,0,1.0,2,1.0,2,1
d6tk6a_,f.13.1.0,0.0,0,0.0,0,0.0,0,1
d2pk0a1,d.219.1.0,0.0,0,1.0,2,1.0,2,1
d1h7sa2,d.122.1.2,1.0,2,1.0,2,1.0,2,0
d5wm2a1,e.23.1.0,1.0,2,1.0,2,1.0,2,0
d6lona_,c.7.1.0,0.0,0,1.0,2,1.0,2,1
d3o83a_,e.23.1.0,1.0,2,1.0,2,1.0,2,0
d6bcoa2,f.14.1.4,0.0,0,0.0,0,0.0,0,1
d1w7ja2,c.37.1.9,0.0,0,1.0,2,1.0,2,1
