NAME,SCOP,FAM,FAMCNT,SFAM,SFAMCNT,FOLD,FOLDCNT,FP
d3o83a_,e.23.1.0,1.0,2,1.0,2,1.0,2,0
d4pxha_,a.104.1.0,1.0,2,1.0,2,1.0,2,0
d1c0pa1,c.4.1.2,0.0,0,0.0,0,0.0,0,1
d3mpka_,c.94.1.0,0.0,0,0.0,0,0.0,0,1
d1glaf_,b.84.3.1,1.0,2,1.0,2,1.0,2,0
d3i4fa_,c.2.1.0,1.0,2,1.0,2,1.0,2,0
d4nfna_,d.144.1.0,0.0,0,0.0,0,0.0,0,1
d3oida1,c.2.1.0,0.0,0,0.0,0,0.0,0,1
d1ps9a1,c.1.4.1,1.0,2,1.0,2,1.0,2,0
d1agja_,b.47.1.1,1.0,2,1.0,2,1.0,2,0
d6q4ga_,d.144.1.7,0.0,0,1.0,2,1.0,2,1
d1c17m_,f.18.1.1,0.0,0,0.0,0,0.0,0,1
d4hyja_,f.13.1.0,1.0,2,1.0,2,1.0,2,0
d1llfa_,c.69.1.17,0.0,0,1.0,2,1.0,2,1
d1um0a_,d.258.1.1,1.0,2,1.0,2,1.0,2,0
d3mlba_,c.26.1.3,0.0,0,1.0,2,1.0,2,1
d5bsra_,e.23.1.0,0.0,0,1.0,2,1.0,2,1
d1txoa_,d.219.1.1,0.0,0,1.0,2,1.0,2,1
d1kuta_,d.143.1.1,0.0,0,0.0,0,0.0,0,1
d1b3ua_,a.118.1.2,0.0,0,0.0,0,0.0,0,1
d1xu9a1,c.2.1.2,0.0,0,0.0,0,0.0,0,1
d3mu7a_,c.1.8.0,1.0,2,1.0,2,1.0,2,0
d4jq6a_,f.13.1.0,1.0,2,1.0,2,1.0,2,0
d3czba_,b.52.1.0,0.0,0,0.0,0,0.0,0,1
d1g7sa4,c.37.1.8,0.0,0,0.0,0,0.0,0,1
d1dd5a_,d.67.3.1,1.0,2,1.0,2,1.0,2,0
d2d1sa_,e.23.1.1,0.0,0,1.0,2,1.0,2,1
d2grrb_,a.118.12.1,0.0,0,0.0,0,0.0,0,1
d5a0yb1,d.58.31.2,0.0,0,1.0,2,1.0,2,1
d2yjtd_,c.37.1.0,1.0,2,1.0,2,1.0,2,0
d3tewa2,b.179.1.1,1.0,2,1.0,2,1.0,2,0
d1vyra_,c.1.4.1,1.0,3,1.0,3,1.0,3,0
d1z2ua1,d.20.1.1,1.0,2,1.0,2,1.0,2,0
d2ehza2,d.32.1.0,0.0,0,1.0,2,1.0,2,1
d6raha1,f.37.1.0,0.0,0,0.0,0,0.0,0,1
d1ivsa4,c.26.1.1,1.0,2,1.0,2,1.0,2,0
d3r9ba_,a.104.1.0,1.0,2,1.0,2,1.0,2,0
d4gbua_,c.1.4.1,1.0,2,1.0,2,1.0,2,0
d5hdma_,c.67.1.4,0.0,0,0.0,0,0.0,0,1
d3fwba_,a.39.1.5,1.0,2,1.0,2,1.0,2,0
d3e96a_,c.1.10.0,0.0,0,0.0,0,1.0,2,1
d3v6ta_,a.298.1.1,1.0,8,1.0,8,1.0,8,0
d5o3za_,c.2.1.0,0.0,0,0.0,0,0.0,0,1
d1h7sa2,d.122.1.2,1.0,2,1.0,2,1.0,2,0
d3k7pa_,c.121.1.0,0.0,0,0.0,0,0.0,0,1
d4ogca3,d.393.1.1,0.0,0,0.0,0,0.0,0,1
d5troa2,e.3.1.0,0.0,0,0.0,0,0.0,0,1
d1r9da_,c.7.1.1,0.0,0,1.0,2,1.0,2,1
d1i7ka_,d.20.1.1,1.0,2,1.0,2,1.0,2,0
d3lfua2,c.37.1.0,0.0,0,1.0,2,1.0,2,1
d6ewja_,c.67.1.0,1.0,2,1.0,2,1.0,2,0
d3lsna1,a.128.1.0,1.0,2,1.0,2,1.0,2,0
d4a6ra_,c.67.1.0,1.0,2,1.0,2,1.0,2,0
d5wm2a1,e.23.1.0,1.0,2,1.0,2,1.0,2,0
d6l25a1,c.1.9.0,0.0,0,0.0,0,0.0,0,1
d6tk6a_,f.13.1.0,0.0,0,0.0,0,0.0,0,1
d2bl9a_,c.71.1.1,1.0,2,1.0,2,1.0,2,0
d1k75a_,c.82.1.2,0.0,0,0.0,0,0.0,0,1
d3loma1,a.128.1.0,1.0,2,1.0,2,1.0,2,0
d4ybra1,c.26.1.0,0.0,0,1.0,2,1.0,2,1
d1aoea_,c.71.1.1,1.0,2,1.0,2,1.0,2,0
d4c08a_,c.66.1.0,0.0,2,1.0,3,1.0,3,1
d2ap2a1,b.1.1.1,1.0,2,1.0,2,1.0,2,0
d2f48a_,c.89.1.1,0.0,0,0.0,0,0.0,0,1
d1ngvb_,c.111.1.2,1.0,2,1.0,2,1.0,2,0
d2acva_,c.87.1.10,1.0,2,1.0,2,1.0,2,0
d4qrna1,c.1.9.0,0.0,0,0.0,0,1.0,2,1
d3fxwa_,d.144.1.7,0.0,0,1.0,2,1.0,2,1
d5i7ia_,c.94.1.0,0.0,0,0.0,0,0.0,0,1
d2uy2a_,c.1.8.0,1.0,2,1.0,2,1.0,2,0
d3r0qa_,c.66.1.0,0.0,2,1.0,3,1.0,3,1
d1vkna2,d.81.1.1,0.0,0,0.0,0,0.0,0,1
d1j0aa_,c.79.1.1,0.0,0,0.0,0,0.0,0,1
d6pnua1,c.82.1.0,0.0,0,0.0,0,0.0,0,1
d2a65a1,f.54.1.1,0.0,0,0.0,0,0.0,0,1
d4qeca_,c.2.1.0,1.0,3,1.0,3,1.0,3,0
d4euka_,c.23.1.0,1.0,2,1.0,2,1.0,2,0
d7b1sb1,d.58.31.0,0.0,0,1.0,2,1.0,2,1
d6xukl_,b.1.1.0,0.0,0,1.0,2,1.0,2,1
d2c1xa1,c.87.1.10,1.0,2,1.0,2,1.0,2,0
d1wtja_,c.122.1.0,0.0,0,0.0,0,0.0,0,1
d2z3ta_,a.104.1.0,1.0,2,1.0,2,1.0,2,0
d1epwa3,d.92.1.7,0.0,0,1.0,2,1.0,2,1
d2w5aa1,d.144.1.7,0.0,0,1.0,2,1.0,2,1
d7d6aa_,c.1.8.0,0.0,0,0.0,0,0.0,0,1
d6ui4a_,c.37.1.0,0.0,0,1.0,2,1.0,2,1
d2ovla2,c.1.11.0,0.0,0,0.0,0,0.0,0,1
d2weia1,d.144.1.0,0.0,0,1.0,3,1.0,3,1
d1kw3b2,d.32.1.3,0.0,0,1.0,2,1.0,2,1
d1gpra_,b.84.3.1,1.0,2,1.0,2,1.0,2,0
d2pk0a1,d.219.1.0,0.0,0,1.0,2,1.0,2,1
d1vmia1,c.77.1.5,1.0,2,1.0,2,1.0,2,0
